technische metadata (drager)																		Waarde digitale drager						Inhoudelijke metadata											
drager.medium	drager.archiefnummer	drager.barcode	drager.dragertype	drager.Technische annotatie	drager.Technische annotatie	drager.archiefstatus	drager.depotstatus	drager.depotstatus.reden	drager.fabricagedatum	drager.fysieke staat	opbergeenheid.barcode	opbergeenheid.archiefnummer	opbergeenheid.locatie	drager.afmetingen	drager.kleur	drager.materiaalsoort	drager.collectienummer	drager.medium	drager.archiefnummer	drager.archiefnummer.bron	drager.dragertype	drager.archiefstatus	drager.projectnaam	werk.titel	configuratie filenaam	realisatie.titel	expressie.titel	expressie.overige titel	expressie.annotatie	expressie.inhoudssamenvatting	expressie.productiejaar	publicatie.begindatum	publicatie.einddatum	publicatie.zendgemachtigde	publicatie.weeknummer
papier			tijdschrift	Omroepgids AVRO		uitgangsmateriaal	in depot		1952					28,5 X 21 cm.		papier	2269.1.1	bestand	ntb	GDS002000001	PDF	consultatiekopie	BvdT Papier/Digitaliseren/2014/Omroepgidsen	Omroepgidsen	config file 1 - omroepgidsen	Omroepgidsen AVRO	Radiobode	Radiobode : officieel orgaan van de Algemeene Vereeniging Radio-Omroep	Uitgever: AVRO, Amsterdam	[omroepnaam] gids van [begindag gids] [dd-mm-yyyy] tot en met [einddag gids] [dd-mm-yyyy]	1952	27-01-1952	02-02-1952	AVRO	1952-04
papier			tijdschrift	Omroepgids AVRO		uitgangsmateriaal	in depot		1953					28,5 X 21 cm.		papier	2269.1.1	bestand	ntb	GDS002000002	PDF	consultatiekopie	BvdT Papier/Digitaliseren/2014/Omroepgidsen	Omroepgidsen	config file 2 - omroepgidsen	Omroepgidsen AVRO	Radiobode	Radiobode : officieel orgaan van de Algemeene Vereeniging Radio-Omroep	Uitgever: AVRO, Amsterdam	[omroepnaam] gids van [begindag gids] [dd-mm-yyyy] tot en met [einddag gids] [dd-mm-yyyy]	1953	05-07-1953	11-07-1953	AVRO	1953-27
papier			tijdschrift	Omroepgids AVRO		uitgangsmateriaal	in depot		1953					28,5 X 21 cm.		papier	2269.1.1	bestand	ntb	GDS002000003	PDF	consultatiekopie	BvdT Papier/Digitaliseren/2014/Omroepgidsen	Omroepgidsen	config file 2 - omroepgidsen	Omroepgidsen AVRO	Radiobode	Radiobode : officieel orgaan van de Algemeene Vereeniging Radio-Omroep	Uitgever: AVRO, Amsterdam	[omroepnaam] gids van [begindag gids] [dd-mm-yyyy] tot en met [einddag gids] [dd-mm-yyyy]	1953	12-07-1953	18-07-1953	AVRO	1953-28
papier			tijdschrift	Omroepgids AVRO		uitgangsmateriaal	in depot		1953					28,5 X 21 cm.		papier	2269.1.1	bestand	ntb	GDS002000004	PDF	consultatiekopie	BvdT Papier/Digitaliseren/2014/Omroepgidsen	Omroepgidsen	config file 2 - omroepgidsen	Omroepgidsen AVRO	Radiobode	Radiobode : officieel orgaan van de Algemeene Vereeniging Radio-Omroep	Uitgever: AVRO, Amsterdam	[omroepnaam] gids van [begindag gids] [dd-mm-yyyy] tot en met [einddag gids] [dd-mm-yyyy]	1953	19-07-1953	25-07-1953	AVRO	1953-29
papier			tijdschrift	Omroepgids AVRO		uitgangsmateriaal	in depot		1953					28,5 X 21 cm.		papier	2269.1.1	bestand	ntb	GDS002000005	PDF	consultatiekopie	BvdT Papier/Digitaliseren/2014/Omroepgidsen	Omroepgidsen	config file 2 - omroepgidsen	Omroepgidsen AVRO	Radiobode	Radiobode : officieel orgaan van de Algemeene Vereeniging Radio-Omroep	Uitgever: AVRO, Amsterdam	[omroepnaam] gids van [begindag gids] [dd-mm-yyyy] tot en met [einddag gids] [dd-mm-yyyy]	1953	26-07-1953	01-08-1953	AVRO	1953-30
papier			tijdschrift	Omroepgids AVRO		uitgangsmateriaal	in depot		1953					28,5 X 21 cm.		papier	2269.1.1	bestand	ntb	GDS002000006	PDF	consultatiekopie	BvdT Papier/Digitaliseren/2014/Omroepgidsen	Omroepgidsen	config file 2 - omroepgidsen	Omroepgidsen AVRO	Radiobode	Radiobode : officieel orgaan van de Algemeene Vereeniging Radio-Omroep	Uitgever: AVRO, Amsterdam	[omroepnaam] gids van [begindag gids] [dd-mm-yyyy] tot en met [einddag gids] [dd-mm-yyyy]	1953	02-08-1953	08-08-1953	AVRO	1953-31
papier			tijdschrift	Omroepgids AVRO		uitgangsmateriaal	in depot		1953					28,5 X 21 cm.		papier	2269.1.1	bestand	ntb	GDS002000007	PDF	consultatiekopie	BvdT Papier/Digitaliseren/2014/Omroepgidsen	Omroepgidsen	config file 2 - omroepgidsen	Omroepgidsen AVRO	Radiobode	Radiobode : officieel orgaan van de Algemeene Vereeniging Radio-Omroep	Uitgever: AVRO, Amsterdam	[omroepnaam] gids van [begindag gids] [dd-mm-yyyy] tot en met [einddag gids] [dd-mm-yyyy]	1953	09-08-1953	15-08-1953	AVRO	1953-32
papier			tijdschrift	Omroepgids AVRO		uitgangsmateriaal	in depot		1953					28,5 X 21 cm.		papier	2269.1.1	bestand	ntb	GDS002000008	PDF	consultatiekopie	BvdT Papier/Digitaliseren/2014/Omroepgidsen	Omroepgidsen	config file 2 - omroepgidsen	Omroepgidsen AVRO	Radiobode	Radiobode : officieel orgaan van de Algemeene Vereeniging Radio-Omroep	Uitgever: AVRO, Amsterdam	[omroepnaam] gids van [begindag gids] [dd-mm-yyyy] tot en met [einddag gids] [dd-mm-yyyy]	1953	01-11-1953	07-11-1953	AVRO	1953-44
papier			tijdschrift	Omroepgids AVRO		uitgangsmateriaal	in depot		1953					28,5 X 21 cm.		papier	2269.1.1	bestand	ntb	GDS002000009	PDF	consultatiekopie	BvdT Papier/Digitaliseren/2014/Omroepgidsen	Omroepgidsen	config file 2 - omroepgidsen	Omroepgidsen AVRO	Radiobode	Radiobode : officieel orgaan van de Algemeene Vereeniging Radio-Omroep	Uitgever: AVRO, Amsterdam	[omroepnaam] gids van [begindag gids] [dd-mm-yyyy] tot en met [einddag gids] [dd-mm-yyyy]	1953	08-11-1953	14-11-1953	AVRO	1953-45
papier			tijdschrift	Omroepgids AVRO		uitgangsmateriaal	in depot		1953					28,5 X 21 cm.		papier	2269.1.1	bestand	ntb	GDS002000010	PDF	consultatiekopie	BvdT Papier/Digitaliseren/2014/Omroepgidsen	Omroepgidsen	config file 2 - omroepgidsen	Omroepgidsen AVRO	Radiobode	Radiobode : officieel orgaan van de Algemeene Vereeniging Radio-Omroep	Uitgever: AVRO, Amsterdam	[omroepnaam] gids van [begindag gids] [dd-mm-yyyy] tot en met [einddag gids] [dd-mm-yyyy]	1953	15-11-1953	21-11-1953	AVRO	1953-46
